country,creators,duration,episodes,genre,language,original_title,popularity,rating,seasons,stars,synopsis,title,year
India,,30,79,"Comedy,Back to top","Hindi,Gujarati,English",,,8.9,2,"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Arvind Vaidya,Deven Bhojani,Ghanshyam Nayak,Shilpa Mehta,Rita Bhaduri,Amit Soni,Sheetal Thakkar,Vaibhavi Upadhyaya,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Bhamini Oza","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",Sarabhai V/S Sarabhai,2004–2017
United States,Jack Kirby,23,39,"Animation,Action,Adventure,Back to top",English,,"1,646",8.7,3,"George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,Susan Eisenberg,Clancy Brown,Michael Rosenbaum,Maria Canals-Barrera,Kin Shriner,CCH Pounder,Lex Lang,Nicholle Tom,Juliet Landau,Jennifer Hale,Michael Beach,Robert Foxworth,Chris Cox,Powers Boothe",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,Justice League Unlimited,2004–2006
United States,Vince Gilligan,45,62,"Crime,Drama,Thriller,Back to top","English,Spanish",,28,9.5,5,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,Breaking Bad,2008–2013
United States,Jon Favreau,40,25,"Action,Adventure,Fantasy,Back to top",English,,132,8.7,4,"Pedro Pascal,Chris Bartlett,Katee Sackhoff,Carl Weathers,Giancarlo Esposito,Emily Swallow,Brendan Wayne,Misty Rosas,Leilani Shiu,Lateef Crowder,Barry Lowin,Ariel Shiu,Gina Carano,Katy O'Brian,Taika Waititi,Tait Fletcher,Omid Abtahi,Temuera Morrison","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",The Mandalorian,2019– 
Turkey,,30,105,"Crime,Drama,Mystery,Back to top",Turkish,Original title: Behzat Ç.: Bir Ankara Polisiyesi,"3,510",8.9,4,"Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,Ayça Eren,Fatih Artman,Seda Bakan,Eray Eserol,Berke Üzrek,Zeynep Koltuk,Canan Erguder,Hakan Hatipoglu,Elvin Besikcioglu,Nejat Isler,Güven Kiraç,Pelinsu Pir,Ayca Varlier,Emre Erçil",An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,Behzat Ç: An Ankara Detective Story,2010–2019
United States,Peter Berg,44,76,"Drama,Sport,Back to top",English,,447,8.7,5,"Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",Friday Night Lights,2006–2011
India,Deepesh Sumitra Jagdish,0,10,"Drama,Back to top",Hindi,,"1,497",9.2,2,"Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,Namita Dubey,Tengam Celine,Kuljeet Singh,Shiva Hariharan,Harish Chhabra,Abhishek Sonpaliya,Ramesh Srivastava,Mahender Bisht,Mallika Prasad,Lokesh Kumar Aggarwal,Vijay Kumar Dogra,Kapil Pal,Gaurav Panday,Sanjay Su",It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Aspirants,2021– 
United Kingdom,,1,328,"Adventure,Sport,Talk-Show,Back to top","English,Italian,German,Spanish,French",,767,8.7,33,"Jeremy Clarkson,Richard Hammond,James May,The Stig,Ben Collins,Chris Harris,Andrew Flintoff,Paddy McGuinness,Matt LeBlanc,Rory Reid,Perry McCarthy,Sabine Schmitz,Jason Dawe,Andy Wilman,Chris Evans,Josh Cohen,Tom Chilton,Eddie Jordan","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",Top Gear,2002–2022
United States,Amy Sherman-Palladino,0,43,"Comedy,Drama,Back to top",English,,327,8.7,5,"Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,Tony Shalhoub,Kevin Pollak,Matilda Szydagis,Caroline Aaron,Matteo Pascale,Joel Johnstone,Nunzio Pascale,Bailey De Young,Brian Tarantina,Luke Kirby,Cynthia Darlow,Jane Lynch,Stephanie Hsu,Reid Scott","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",The Marvelous Mrs. Maisel,2017–2023
United Kingdom,,1,46,"Comedy,Sport,Talk-Show,Back to top",English,,523,8.7,5,"Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,Mike Skinner,Simon Pegg,David Hasselhoff,Kiefer Sutherland,Paris Hilton,Nigel Mansell,Jimmy Carr,Jérôme d'Ambrosio,Johan Ackermann,John Surtees,Tim Burton,Roger Daltrey,Michael Ball,Brian Johnson","Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",The Grand Tour,2016–2024
